date,paed_ed_attends
2014-04-01,47
2014-04-02,46
2014-04-03,47
2014-04-04,48
2014-04-05,52
2014-04-06,47
2014-04-07,39
2014-04-08,39
2014-04-09,43
2014-04-10,53
2014-04-11,41
2014-04-12,49
2014-04-13,42
2014-04-14,53
2014-04-15,49
2014-04-16,46
2014-04-17,56
2014-04-18,49
2014-04-19,51
2014-04-20,53
2014-04-21,40
2014-04-22,56
2014-04-23,40
2014-04-24,53
2014-04-25,53
2014-04-26,53
2014-04-27,56
2014-04-28,53
2014-04-29,54
2014-04-30,53
2014-05-01,53
2014-05-02,41
2014-05-03,57
2014-05-04,64
2014-05-05,49
2014-05-06,57
2014-05-07,57
2014-05-08,50
2014-05-09,40
2014-05-10,43
2014-05-11,50
2014-05-12,46
2014-05-13,36
2014-05-14,43
2014-05-15,43
2014-05-16,44
2014-05-17,58
2014-05-18,57
2014-05-19,58
2014-05-20,55
2014-05-21,57
2014-05-22,47
2014-05-23,53
2014-05-24,58
2014-05-25,60
2014-05-26,47
2014-05-27,40
2014-05-28,41
2014-05-29,28
2014-05-30,45
2014-05-31,42
2014-06-01,51
2014-06-02,55
2014-06-03,44
2014-06-04,39
2014-06-05,40
2014-06-06,48
2014-06-07,51
2014-06-08,74
2014-06-09,62
2014-06-10,49
2014-06-11,33
2014-06-12,57
2014-06-13,40
2014-06-14,61
2014-06-15,49
2014-06-16,46
2014-06-17,45
2014-06-18,43
2014-06-19,54
2014-06-20,59
2014-06-21,42
2014-06-22,48
2014-06-23,60
2014-06-24,48
2014-06-25,46
2014-06-26,56
2014-06-27,47
2014-06-28,44
2014-06-29,41
2014-06-30,49
2014-07-01,61
2014-07-02,50
2014-07-03,39
2014-07-04,56
2014-07-05,49
2014-07-06,44
2014-07-07,50
2014-07-08,48
2014-07-09,43
2014-07-10,66
2014-07-11,65
2014-07-12,51
2014-07-13,52
2014-07-14,68
2014-07-15,47
2014-07-16,62
2014-07-17,49
2014-07-18,53
2014-07-19,49
2014-07-20,57
2014-07-21,55
2014-07-22,43
2014-07-23,65
2014-07-24,43
2014-07-25,43
2014-07-26,40
2014-07-27,51
2014-07-28,48
2014-07-29,55
2014-07-30,41
2014-07-31,51
2014-08-01,46
2014-08-02,33
2014-08-03,43
2014-08-04,32
2014-08-05,34
2014-08-06,44
2014-08-07,43
2014-08-08,31
2014-08-09,46
2014-08-10,44
2014-08-11,35
2014-08-12,34
2014-08-13,45
2014-08-14,35
2014-08-15,46
2014-08-16,40
2014-08-17,46
2014-08-18,32
2014-08-19,42
2014-08-20,39
2014-08-21,21
2014-08-22,32
2014-08-23,35
2014-08-24,47
2014-08-25,37
2014-08-26,50
2014-08-27,31
2014-08-28,44
2014-08-29,32
2014-08-30,35
2014-08-31,44
2014-09-01,37
2014-09-02,43
2014-09-03,29
2014-09-04,31
2014-09-05,40
2014-09-06,30
2014-09-07,53
2014-09-08,45
2014-09-09,34
2014-09-10,38
2014-09-11,49
2014-09-12,43
2014-09-13,48
2014-09-14,44
2014-09-15,39
2014-09-16,48
2014-09-17,45
2014-09-18,65
2014-09-19,38
2014-09-20,44
2014-09-21,57
2014-09-22,61
2014-09-23,34
2014-09-24,48
2014-09-25,34
2014-09-26,52
2014-09-27,47
2014-09-28,46
2014-09-29,50
2014-09-30,48
2014-10-01,52
2014-10-02,54
2014-10-03,51
2014-10-04,47
2014-10-05,62
2014-10-06,48
2014-10-07,42
2014-10-08,48
2014-10-09,52
2014-10-10,37
2014-10-11,47
2014-10-12,53
2014-10-13,38
2014-10-14,43
2014-10-15,59
2014-10-16,55
2014-10-17,46
2014-10-18,58
2014-10-19,52
2014-10-20,58
2014-10-21,49
2014-10-22,44
2014-10-23,57
2014-10-24,53
2014-10-25,62
2014-10-26,60
2014-10-27,43
2014-10-28,46
2014-10-29,37
2014-10-30,36
2014-10-31,42
2014-11-01,55
2014-11-02,49
2014-11-03,47
2014-11-04,44
2014-11-05,44
2014-11-06,43
2014-11-07,48
2014-11-08,48
2014-11-09,53
2014-11-10,65
2014-11-11,43
2014-11-12,41
